paper_id,pmid,variable_id,coder_a_value,coder_b_value
C03,40999587,reviewers_blinded,NA,NA
C03,40999587,reviewers_independent,NA,NA
C03,40999587,sensitive_upload_addressed,NA,NA
C03,40999587,system_prompt_reported,NA,NR
C04,41039969,actionability_or_critical_error,NR,NR
C04,41039969,bias_assessed,NR,NR
C04,41039969,citation_error_assessed,NA,NA
C04,41039969,contradiction_assessed,NR,NR
C04,41039969,error_definition_reported,Y,NR
C04,41039969,escalation_or_abstention_reported,NA,NR
C04,41039969,fairness_subgroups_assessed,NA,NR
C04,41039969,hallucination_assessed,NR,NR
C04,41039969,harm_severity_graded,NA,NA
C04,41039969,instrument_available,NA,NA
C04,41039969,interrater_reliability_reported,NA,NR
C04,41039969,judge_bias_control_reported,NA,NA
C04,41039969,judge_human_validation,NA,NA
C04,41039969,judge_independence_addressed,NA,NA
C04,41039969,llm_as_judge_used,N,NR
C04,41039969,omission_assessed,NA,NR
C04,41039969,output_samples_available,0_unavailable,0_unavailable
C04,41039969,potential_harm_assessed,N,NR
C04,41039969,prompts_available,0_unavailable,0_unavailable
C04,41039969,reference_standard_formation_reported,NR,NR
C04,41039969,reference_standard_method,answer_key,answer_key
C04,41039969,repeated_runs_per_input,N,N
C04,41039969,reviewers_blinded,NA,NR
C04,41039969,reviewers_independent,NA,NR
C04,41039969,sensitive_upload_addressed,NA,NA
C04,41039969,system_prompt_reported,NR,NR
C05,41184207,actionability_or_critical_error,N,NR
C05,41184207,bias_assessed,NR,NR
C05,41184207,citation_error_assessed,NR,NA
C05,41184207,contradiction_assessed,N,NR
C05,41184207,error_definition_reported,Y,Y
C05,41184207,escalation_or_abstention_reported,NA,NA
C05,41184207,fairness_subgroups_assessed,NA,NA
C05,41184207,hallucination_assessed,NR,NR
C05,41184207,harm_severity_graded,NA,NA
C05,41184207,instrument_available,NA,NA
C05,41184207,interrater_reliability_reported,NA,NA
C05,41184207,judge_bias_control_reported,N,NA
C05,41184207,judge_human_validation,Y,NA
C05,41184207,judge_independence_addressed,N,NA
C05,41184207,llm_as_judge_used,Y,N
C05,41184207,omission_assessed,NA,NA
C05,41184207,output_samples_available,0_unavailable,0_unavailable
C05,41184207,potential_harm_assessed,N,N
C05,41184207,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C05,41184207,reference_standard_formation_reported,NR,NR
C05,41184207,reference_standard_method,answer_key,answer_key
C05,41184207,repeated_runs_per_input,N,N
C05,41184207,reviewers_blinded,NA,NA
C05,41184207,reviewers_independent,NA,NA
C05,41184207,sensitive_upload_addressed,NA,NA
C05,41184207,system_prompt_reported,NR,NR
C06,41719523,actionability_or_critical_error,NR,NR
C06,41719523,bias_assessed,NR,NR
C06,41719523,citation_error_assessed,NA,NA
C06,41719523,contradiction_assessed,NR,NR
C06,41719523,error_definition_reported,Y,Y
C06,41719523,escalation_or_abstention_reported,NA,NA
C06,41719523,fairness_subgroups_assessed,NA,N
C06,41719523,hallucination_assessed,NR,NR
C06,41719523,harm_severity_graded,NA,NA
C06,41719523,instrument_available,NA,NA
C06,41719523,interrater_reliability_reported,NR,N
C06,41719523,judge_bias_control_reported,NA,NA
C06,41719523,judge_human_validation,NA,NA
C06,41719523,judge_independence_addressed,NA,NA
C06,41719523,llm_as_judge_used,N,N
C06,41719523,omission_assessed,NA,NR
C06,41719523,output_samples_available,0_unavailable,0_unavailable
C06,41719523,potential_harm_assessed,N,N
C06,41719523,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C06,41719523,reference_standard_formation_reported,NR,NR
C06,41719523,reference_standard_method,answer_key,answer_key
C06,41719523,repeated_runs_per_input,N,N
C06,41719523,reviewers_blinded,NR,NR
C06,41719523,reviewers_independent,Y,Y
C06,41719523,sensitive_upload_addressed,NA,NA
C06,41719523,system_prompt_reported,NA,NA
C07,39094112,actionability_or_critical_error,NR,NR
C07,39094112,bias_assessed,NR,NR
C07,39094112,citation_error_assessed,NR,NA
C07,39094112,contradiction_assessed,NR,NR
C07,39094112,error_definition_reported,NA,NA
C07,39094112,escalation_or_abstention_reported,NA,NA
C07,39094112,fairness_subgroups_assessed,NA,NA
C07,39094112,hallucination_assessed,NR,NA
C07,39094112,harm_severity_graded,NA,NA
C07,39094112,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C07,39094112,interrater_reliability_reported,NR,NA
C07,39094112,judge_bias_control_reported,NA,NA
C07,39094112,judge_human_validation,NA,NA
C07,39094112,judge_independence_addressed,NA,NA
C07,39094112,llm_as_judge_used,N,NA
C07,39094112,omission_assessed,NA,NA
C07,39094112,output_samples_available,1_selected_examples,1_selected_examples
C07,39094112,potential_harm_assessed,N,NA
C07,39094112,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C07,39094112,reference_standard_formation_reported,NA,NA
C07,39094112,reference_standard_method,NA,NA
C07,39094112,repeated_runs_per_input,N,N
C07,39094112,reviewers_blinded,Y,Y
C07,39094112,reviewers_independent,Y,Y
C07,39094112,sensitive_upload_addressed,NA,NA
C07,39094112,system_prompt_reported,NR,NR
C08,40663377,actionability_or_critical_error,N,NR
C08,40663377,bias_assessed,NR,NR
C08,40663377,citation_error_assessed,NA,NA
C08,40663377,contradiction_assessed,N,NR
C08,40663377,error_definition_reported,Y,Y
C08,40663377,escalation_or_abstention_reported,NR,NA
C08,40663377,fairness_subgroups_assessed,NA,N
C08,40663377,hallucination_assessed,NR,NR
C08,40663377,harm_severity_graded,NA,NA
C08,40663377,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C08,40663377,interrater_reliability_reported,Y,Y
C08,40663377,judge_bias_control_reported,NA,NA
C08,40663377,judge_human_validation,NA,NA
C08,40663377,judge_independence_addressed,NA,NA
C08,40663377,llm_as_judge_used,N,N
C08,40663377,omission_assessed,N,NR
C08,40663377,output_samples_available,0_unavailable,1_selected_examples
C08,40663377,potential_harm_assessed,N,N
C08,40663377,prompts_available,0_unavailable,1_partial_or_on_request
C08,40663377,reference_standard_formation_reported,Y,Y
C08,40663377,reference_standard_method,expert_consensus,expert_consensus
C08,40663377,repeated_runs_per_input,N,NR
C08,40663377,reviewers_blinded,Y,Y
C08,40663377,reviewers_independent,Y,Y
C08,40663377,sensitive_upload_addressed,NR,Y
C08,40663377,system_prompt_reported,NA,NR
C09,41859530,actionability_or_critical_error,NR,NR
C09,41859530,bias_assessed,NR,NR
C09,41859530,citation_error_assessed,NA,NA
C09,41859530,contradiction_assessed,Y,NR
C09,41859530,error_definition_reported,Y,Y
C09,41859530,escalation_or_abstention_reported,NA,NA
C09,41859530,fairness_subgroups_assessed,NA,NA
C09,41859530,hallucination_assessed,NR,NR
C09,41859530,harm_severity_graded,NA,NR
C09,41859530,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C09,41859530,interrater_reliability_reported,Y,Y
C09,41859530,judge_bias_control_reported,NA,NA
C09,41859530,judge_human_validation,NA,NA
C09,41859530,judge_independence_addressed,NA,NA
C09,41859530,llm_as_judge_used,N,N
C09,41859530,omission_assessed,Y,Y
C09,41859530,output_samples_available,1_selected_examples,1_selected_examples
C09,41859530,potential_harm_assessed,N,Y
C09,41859530,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C09,41859530,reference_standard_formation_reported,Y,Y
C09,41859530,reference_standard_method,expert_consensus,expert_consensus
C09,41859530,repeated_runs_per_input,Y,Y
C09,41859530,reviewers_blinded,Y,Y
C09,41859530,reviewers_independent,Y,Y
C09,41859530,sensitive_upload_addressed,NA,NA
C09,41859530,system_prompt_reported,NA,NA
C10,41860987,actionability_or_critical_error,Y,Y
C10,41860987,bias_assessed,NR,NR
C10,41860987,citation_error_assessed,NA,NA
C10,41860987,contradiction_assessed,NR,NR
C10,41860987,error_definition_reported,Y,Y
C10,41860987,escalation_or_abstention_reported,NR,NA
C10,41860987,fairness_subgroups_assessed,NA,NA
C10,41860987,hallucination_assessed,NR,NR
C10,41860987,harm_severity_graded,Y,Y
C10,41860987,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C10,41860987,interrater_reliability_reported,Y,Y
C10,41860987,judge_bias_control_reported,NA,NA
C10,41860987,judge_human_validation,NA,NA
C10,41860987,judge_independence_addressed,NA,NA
C10,41860987,llm_as_judge_used,N,N
C10,41860987,omission_assessed,NA,NR
C10,41860987,output_samples_available,0_unavailable,0_unavailable
C10,41860987,potential_harm_assessed,Y,Y
C10,41860987,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C10,41860987,reference_standard_formation_reported,Y,Y
C10,41860987,reference_standard_method,expert_consensus,expert_consensus
C10,41860987,repeated_runs_per_input,NA,N
C10,41860987,reviewers_blinded,NA,N
C10,41860987,reviewers_independent,Y,Y
C10,41860987,sensitive_upload_addressed,Y,Y
C10,41860987,system_prompt_reported,N,Y
C11,42041943,actionability_or_critical_error,N,NR
C11,42041943,bias_assessed,NR,NR
C11,42041943,citation_error_assessed,NA,NR
C11,42041943,contradiction_assessed,NR,NR
C11,42041943,error_definition_reported,Y,Y
C11,42041943,escalation_or_abstention_reported,NA,NA
C11,42041943,fairness_subgroups_assessed,NA,NA
C11,42041943,hallucination_assessed,NR,NR
C11,42041943,harm_severity_graded,NA,NR
C11,42041943,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C11,42041943,interrater_reliability_reported,NR,NR
C11,42041943,judge_bias_control_reported,NA,NR
C11,42041943,judge_human_validation,NA,NR
C11,42041943,judge_independence_addressed,NA,NR
C11,42041943,llm_as_judge_used,N,N
C11,42041943,omission_assessed,NA,NR
C11,42041943,output_samples_available,0_unavailable,0_unavailable
C11,42041943,potential_harm_assessed,N,NR
C11,42041943,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C11,42041943,reference_standard_formation_reported,NR,NA
C11,42041943,reference_standard_method,expert_consensus,NA
C11,42041943,repeated_runs_per_input,N,N
C11,42041943,reviewers_blinded,NA,N
C11,42041943,reviewers_independent,Y,Y
C11,42041943,sensitive_upload_addressed,NA,NA
C11,42041943,system_prompt_reported,NA,NA
C12,42228937,actionability_or_critical_error,NR,NR
C12,42228937,bias_assessed,NR,NR
C12,42228937,citation_error_assessed,NA,NA
C12,42228937,contradiction_assessed,NR,NR
C12,42228937,error_definition_reported,NR,Y
C12,42228937,escalation_or_abstention_reported,Y,Y
C12,42228937,fairness_subgroups_assessed,NA,NA
C12,42228937,hallucination_assessed,NR,NR
C12,42228937,harm_severity_graded,NA,NA
C12,42228937,instrument_available,1_partial_or_on_request,1_partial_or_on_request
C12,42228937,interrater_reliability_reported,Y,Y
C12,42228937,judge_bias_control_reported,NA,NA
C12,42228937,judge_human_validation,NA,NA
C12,42228937,judge_independence_addressed,NA,NA
C12,42228937,llm_as_judge_used,N,N
C12,42228937,omission_assessed,NA,NA
C12,42228937,output_samples_available,0_unavailable,0_unavailable
C12,42228937,potential_harm_assessed,N,N
C12,42228937,prompts_available,1_partial_or_on_request,0_unavailable
C12,42228937,reference_standard_formation_reported,NA,NR
C12,42228937,reference_standard_method,NA,human_output
C12,42228937,repeated_runs_per_input,NA,NR
C12,42228937,reviewers_blinded,NA,NR
C12,42228937,reviewers_independent,Y,Y
C12,42228937,sensitive_upload_addressed,NR,NR
C12,42228937,system_prompt_reported,NA,NR
