variable_id,domain,label,analysis_level,data_type,allowed_values,applicability,operational_definition,evidence_requirement,reliability_method,critical
model_access_date_reported,模型身份,访问或运行日期报告,paper,nominal,Y|N|NR,all,至少报告到月份；仅发表年不算；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,Y
model_openness,模型身份,模型开放性,model,nominal,open_weights|closed_proprietary|mixed|unclear,all,按实际权重和运行可获得性而非是否免费使用,模型说明,Cohen_kappa_and_AC1,N
system_prompt_reported,生成设置,系统提示词报告,paper,nominal,Y|N|NR|NA,message_architecture_has_independent_system_layer,先判消息架构。明确存在独立于用户输入的system消息层时继续评价完整性；明确只有单一用户消息、无独立system层时NA；报道提示词但未说明消息层角色时NR。Y：独立system层存在且完整内容可由本文材料重建；N：明确使用该层但未提供或仅提供截断内容；NR：层是否存在或内容是否完整无法确定。开发者的一般提示建议不作为system消息证据。,正文或补充材料,Cohen_kappa_and_AC1,Y
full_user_prompt_reported,生成设置,完整用户提示词报告,paper,nominal,Y|N|NR,all,主要评价输入模板、变量、约束和输出要求足以让读者重建时记Y；仅给关键词、问题标题、截图片段或一个无法复用的例子不算；作者明确未保存或未提供记N；完整文本无法判断时记NR；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,正文或补充材料,Cohen_kappa_and_AC1,Y
prompt_examples_only,生成设置,仅给部分提示示例,paper,nominal,Y|N|NR,all,存在提示词示例但不足以重建主要输入模板记Y；完整模板已给出或研究明确没有示例记N；报告含糊而无法判断为NR；本变量允许值不含NA，不能借上游变量推导NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,正文或补充材料,Cohen_kappa_and_AC1,N
temperature_reported,生成设置,temperature报告,paper,nominal,Y|N|NR|NA,all,报告数值，或明确使用可追溯默认值/确定性设置时记Y；作者明确说明未设置或未记录时记N；完整文本无充分信息时记NR；模型或界面明确不支持或不暴露该参数时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
top_p_reported,生成设置,top-p报告,paper,nominal,Y|N|NR|NA,all,报告数值或可追溯默认值时记Y；作者明确说明未设置或未记录时记N；完整文本无充分信息时记NR；模型或界面明确不支持或不暴露该参数时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
max_tokens_reported,生成设置,最大输出token报告,paper,nominal,Y|N|NR|NA,all,报告生成长度上限数值或可追溯默认值时记Y；作者明确说明未设置或未记录时记N；完整文本无充分信息时记NR；模型或界面明确不支持或不暴露该参数时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
random_seed_reported,生成设置,随机种子报告,paper,nominal,Y|N|NR|NA,all,适用于全部研究。Y：报告实际使用的随机种子值或可复现的种子设定；N：明确说明未固定、未记录或每次随机取种子；NR：完整文本没有种子状态；NA：研究文本或研究同期的平台材料明确证明该生成路径不支持种子。温度为0、所谓确定性模式或今日平台能力不能推断Y或NA。,方法或附录,Cohen_kappa_and_AC1,N
run_count_reported,稳定性,运行次数报告,paper,nominal,Y|N|NR,all,可确定每个问题或条件生成了几次；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或流程图,Cohen_kappa_and_AC1,Y
repeated_runs_per_input,稳定性,同输入重复运行,paper,nominal,Y|N|NR|NA,all,适用于有固定评价输入的生成任务；没有可重复提交的固定输入时NA。Y：同一完整输入在同一模型版本、研究臂和参数条件下至少提交2次，且至少2个所得输出进入预设分析。N：重复仅用于一致性检查、故障重试或提示开发，正式分析只保留首个或单个输出；或方法明确每个输入只分析1个输出。NR：有固定输入，但重复次数、同输入配对关系或重复输出是否进入分析未交代。不同模型各运行1次不计重复测量。,方法部分,Cohen_kappa_and_AC1,Y
output_variability_assessed,稳定性,输出变异或稳定性评价,paper,nominal,Y|N|NR|NA,repeated_runs_per_input=Y,建立硬依赖：`repeated_runs_per_input=Y` 才进入 Y/N/NR；其余上游值均记 NA。Y 还需预设的一致性、方差、分布或逐输入重复比较并报告结果；只描述答案不同记 N 或 NR，按是否明确未评价区分；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法与结果,Cohen_kappa_and_AC1,Y
model_drift_addressed,稳定性,模型更新或漂移处理,paper,nominal,Y|N|NR|NA,all,Y 必须明确把冻结权重、固定快照、限定时间窗或跨时间复测作为控制模型变化的设计策略；仅报告版本、访问日期或单日采集事实不够。明确未控制记 N，未提及策略记 NR，只有不可变本地权重且研究说明时才记 NA；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法或讨论,Cohen_kappa_and_AC1,N
reference_standard_used,参考标准,使用参考标准,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,用于判断内容正确性、完整性或临床充分性的答案键、指南、专家共识、人工范本或数据标签实际参与评分时记Y；只有可读性、风格或总体质量量表且无内容标准时记N；无法确定时记NR；direct_output_evaluation不为Y时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法部分,Cohen_kappa_and_AC1,Y
reference_standard_source_reported,参考标准,参考标准来源报告,paper,nominal,Y|N|NR|NA,reference_standard_used=Y,参考标准来源可被读者识别，且报告指南版本、数据集、专家组或人工范本形成依据中的至少一项时记Y；只写gold standard、expert review等笼统名称记N；无法判断时记NR；reference_standard_used不为Y时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,Y
reference_standard_method,参考标准,参考标准类型,paper,nominal,answer_key|guideline|expert_consensus|human_output|dataset_label|mixed|other|NA,reference_standard_used=Y,仅当reference_standard_used=Y时分类；上游N/NA/NR均按原规则传递NA并保留上游状态。按主要判定来源依次分类：固定逐题答案键为answer_key；直接以指南条款裁定为guideline；专家创建、解释或裁决形成标准为expert_consensus；未经专家再裁决的人工原始答案/输出为human_output；既有数据集标签为dataset_label；两个及以上来源共同决定主要判定为mixed；确认使用但不能归类为other。专家使用某分类法评分仍为expert_consensus，不能仅因命名指南或taxonomy改记guideline。,方法部分,Cohen_kappa_and_AC1,N
expert_number_reported,参考标准,专家人数报告,paper,nominal,Y|N|NR|NA,expert_involved=Y,可确定形成标准或评审的专家人数；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法部分,Cohen_kappa_and_AC1,N
expert_qualification_reported,参考标准,专家资质报告,paper,nominal,Y|N|NR|NA,expert_involved_in_reference_standard_or_output_scoring,先判专家是否明确实际参与参考标准形成或输出评分；明确只有普通研究人员/研究助理参与或无此角色时NA，参与状态无法确定时NR。Y：至少给出职称、执业资格、从业年限或具体相关经验；N：仅给clinical nurses、experts、professionals等职业/角色泛称且这是全文全部资质信息；NR：提到人员参与但不能确定其是否作为专家或资质报告范围。不得从作者单位推断个人资质。,方法部分,Cohen_kappa_and_AC1,Y
reference_standard_formation_reported,参考标准,金标准形成流程报告,paper,nominal,Y|N|NR|NA,reference_standard_used=Y,仅当reference_standard_used=Y时适用；上游N/NA时NA，上游NR时按既定规则区分NA与NR。Y：至少报告一个可执行的创建或适配步骤，如独立标注、证据检索、校准、共识、冲突解决或版本控制；NR：直接采用命名来源或答案键、只称专家制定而无步骤，不能把未报告推断为未实施；N：仅在作者明确说明没有形成或适配过程时使用。,方法部分,Cohen_kappa_and_AC1,Y
human_review_used,人工评审,使用人工评审,paper,nominal,Y|N|NR,all,Y 仅限人类直接对生成输出评分、分类、核查或作偏好判断；只评价使用体验、学生表现、流程效率或输入资料不计。明确全部由自动指标完成且无人评输出记 N；方法不足以判断是否有人评输出记 NR；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法部分,Cohen_kappa_and_AC1,Y
reviewers_independent,人工评审,评价者独立评分,paper,nominal,Y|N|NR|NA,human_review_used=Y_and_two_or_more_rating_reviewers,先判human_review_used=Y且至少2人实际产生评分。上游N/NA、无人工评分或仅1名评分者时NA；上游NR或评分人数不清时NR。Y：各评分者在讨论、共识或查看他人结果前隔离完成可配对评分；N：明确共同评分、边讨论边评分或共享前一评分者结果；NR：确认多人评分但初评顺序和隔离流程未报告。多人署名或后续共识不等于独立初评。,方法部分,Cohen_kappa_and_AC1,Y
reviewers_blinded,人工评审,评价者盲法,paper,nominal,Y|N|NR|NA,human_output_review=Y_and_maskable_source_or_condition,先判存在人工输出评价，且模型身份、输出来源或实验条件中至少一项可在评分时遮蔽。无人工评价、上游N/NA或没有可遮蔽比较信息时NA；上游人工评价状态不清时NR。Y：明确遮蔽至少一个会影响比较的来源或条件；N：评价者明确知道全部可遮蔽来源或明确未实施盲法；NR：存在可遮蔽对象但暴露状态未报告。随机顺序不等于盲法；仅遮蔽其他评价者评分只支持独立性，不支持来源盲法。,方法部分,Cohen_kappa_and_AC1,Y
reviewer_training_reported,人工评审,评价者培训或校准报告,paper,nominal,Y|N|NR|NA,human_review_used=Y,无人工输出评价记 NA；报告针对本评价任务的培训材料、试评、校准会议或评分示例并说明其用途记 Y；明确未培训/校准记 N；只称经验丰富、只附量表或未说明培训记 NR；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法部分,Cohen_kappa_and_AC1,N
conflict_resolution_reported,人工评审,评分冲突解决报告,paper,nominal,Y|N|NR|NA,human_review_used=Y_and_multiple_reviewers,报告不一致时由第三人裁决、共识会议、重复复核或预先规则中的至少一种具体机制时记Y；只写consensus without process不算；明确无冲突处理记N；无法判断时记NR；没有人类评审时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法部分,Cohen_kappa_and_AC1,Y
interrater_reliability_reported,人工评审,评审者一致性统计报告,paper,nominal,Y|N|NR|NA,two_or_more_reviewers_with_pairable_ratings,先判至少2名评价者产生可配对评分。上游N/NA或无可配对评分时NA；上游NR、人数或配对状态不清时NR。Y：报告适合尺度的评价者-评价者信度或一致性系数名称及数值，如kappa、ICC、AC1或Krippendorff alpha；N：明确未计算，或完整协议明确只做百分比一致/相关检验；NR：确认有配对评分但是否计算未报告。模型与参考标准之间的kappa不是评审者间信度。,方法或结果,Cohen_kappa_and_AC1,Y
factual_error_assessed,错误评价,事实错误评价,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,实际识别与参考事实不符的内容；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法与结果,Cohen_kappa_and_AC1,Y
hallucination_assessed,错误评价,幻觉评价,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,仅当direct_output_evaluation=Y时适用；上游N/NA时NA，上游NR时NR。Y必须同时满足：方法定义输入或来源不支持、捏造的事实/来源/引用；结果对该构念作系统汇总。一般事实准确性、风险讨论、纠错活动或孤立示例均为NR；只有完整错误协议明确排除该构念或作者明确未评价时为N。,方法与结果,Cohen_kappa_and_AC1,Y
omission_assessed,错误评价,遗漏评价,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,先判direct_output_evaluation=Y，再判是否有内容参考或预设清单；无内容参考时NA，参考是否存在不清时NR。Y：对照参考逐项识别应有但缺失内容并汇总结果；N：有明确参考且完整评价只给总体完整性/正确性或明确不检查缺项，没有遗漏项目结果；NR：只给遗漏主题或示例，或参照、判据、结果范围不足。,方法与结果,Cohen_kappa_and_AC1,Y
contradiction_assessed,错误评价,内部矛盾评价,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,仅当direct_output_evaluation=Y时适用；上游N/NA时NA，上游NR时NR。Y：明确核查输出内部冲突、输出与输入冲突或输出与指定证据冲突，并系统汇总结果；错误答案、额外/遗漏项目指标不等同矛盾。N：完整错误协议明确不检查冲突或作者明确未评价；NR：一般错误、讨论提醒或孤立矛盾示例。,方法与结果,Cohen_kappa_and_AC1,N
citation_error_assessed,错误评价,引用或来源错误评价,paper,nominal,Y|N|NR|NA,generated_outputs_contain_citations=Y,先判生成输出是否含引用；明确不含引用时NA，是否含引用不清时NR。Y：系统核验引用存在性、书目信息准确性或主张-证据对应关系，并报告结果；N：引用存在且完整评价明确不核验，或作者明确未评价引用；NR：只要求或展示引用、讨论风险，或未说明是否核验。一般事实核查不等于引用核验。,方法与结果,Cohen_kappa_and_AC1,N
error_definition_reported,错误评价,错误操作定义报告,paper,nominal,Y|N|NR|NA,at_least_one_error_construct_systematically_assessed,先判至少一种错误构念被系统评价。上游N/NA或没有错误评价时NA；是否评价不清时NR。Y：给出可复执行的错误定义、量表阈值、答案判定阈值或有方向的过度/不足判定规则；N：明确采用未预设的纯主观整体判断或明确不设判据；NR：只列类别、宽泛量表解释、举例或未取得工具，不能复现逐项判定。结果中的错误数量本身不证明定义充分。,方法或量表,Cohen_kappa_and_AC1,Y
potential_harm_assessed,临床安全,潜在伤害评价,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y_and_clinical_consequence_path=Y,先判direct_output_evaluation=Y且任务存在合理临床或护理后果路径；任一上游N/NA时NA，任一上游NR时NR。Y：预设规则把具体错误映射到患者风险、护理后果或行动，并报告映射结果；N：方法和结果完整但只评价正确性、相关性或全局安全分，未作错误到后果映射；NR：报告范围不完整，无法判断是否实施映射。一般风险讨论不计Y。,方法与结果,Cohen_kappa_and_AC1,Y
harm_severity_graded,临床安全,伤害严重度分级,paper,nominal,Y|N|NR|NA,potential_harm_assessed=Y,先传播potential_harm_assessed：上游N或NA时NA，上游NR时NR，仅上游Y时评价分级。Y：至少2个有序伤害等级，报告方向或关键锚点，把具体输出分配到等级并报告结果；N：明确不分级；NR：仅有high/low字样或汇总分，缺少方向、锚点、输出分配或结果中的任一关键环节。,方法与结果,Cohen_kappa_and_AC1,Y
actionability_or_critical_error,临床安全,可行动性或关键错误单列,paper,nominal,Y|N|NR|NA,direct_output_evaluation=Y,仅当direct_output_evaluation=Y时适用；上游N/NA时NA，上游NR时NR。Y必须同时有预设的改变护理/临床决策、需立即纠正/升级或跨越关键阈值的规则，以及单独报告的数量或结果；N：完整错误框架明确不作此类分层；NR：只有安全/紧急语言、一般严重性分或孤立关键示例，缺少阈值或单独结果。,方法与结果,Cohen_kappa_and_AC1,Y
bias_assessed,公平治理,模型偏倚实证评价,paper,nominal,Y|N|NR|NA,all,适用于存在可比较生成输出或评价结果的研究；明确无可比较输出时NA。Y：把模型、输入或人群条件预先指定为潜在偏倚/差异效应来源，并作结构化或统计比较且报告结果；N：完整评价协议明确排除偏倚比较；NR：普通模型性能比较、样本特征、单例或局限讨论，没有预先偏倚条件与实证比较的组合。,方法与结果,Cohen_kappa_and_AC1,Y
fairness_subgroups_assessed,公平治理,亚组公平性评价,paper,nominal,Y|N|NR|NA,two_or_more_prespecified_fairness_subgroups_or_counterfactuals,先判研究设计预设至少2个可比较的社会人口学、文化、语言、临床亚组或反事实条件；没有此类设计时NA，设计状态不清时NR。模型品牌、问题类型、医院或任意病例差异，除非预先指定为公平性条件，否则不激活适用性。Y：以可复现方法比较这些组的输出或指标并报告结果；N：已预设适用组但完整分析明确未作公平比较；NR：存在适用组但方法或结果报告不足。,方法与结果,Cohen_kappa_and_AC1,Y
fairness_dimensions_text,公平治理,公平性维度摘录,paper,text,free_text,fairness_subgroups_assessed=Y,摘录被操纵或比较的社会人口学维度,方法与结果,exact_match,N
deidentification_reported,隐私治理,数据去标识报告,paper,nominal,Y|N|NR|NA,uses_person_level_or_clinical_data,先判个人级数据、临床记录或由患者个体收集的原始文本是否进入生成流程；纯公开题目、纯合成场景或明确只用非个人级内容时NA，问题虽经汇总/翻译但来源于患者且无法确认是否保留个体信息时NR。Y：报告进入模型前去标识/匿名化/脱敏；N：明确可识别数据未经处理进入；NR：真实来源明确但处理状态未报告。,方法或伦理声明,Cohen_kappa_and_AC1,Y
sensitive_upload_addressed,隐私治理,敏感数据上传处理报告,paper,nominal,Y|N|NR|NA,closed_external_model_and_sensitive_data,先追踪患者级或敏感内容是否可能离开受控本地环境并发送到外部封闭模型。完全本地处理，或仅使用公开、合成、非个人级内容时NA；数据路径、敏感性或去标识状态不清时NR。Y：报告未上传、上传前去标识或获批隔离传输环境；N：明确把敏感内容无控制上传。患者来源内容不能仅凭汇总或翻译推定已去标识。,方法或治理说明,Cohen_kappa_and_AC1,Y
vendor_data_policy_addressed,隐私治理,供应商数据保留或训练政策报告,paper,nominal,Y|N|NR|NA,external_vendor_hosted_model,仅外部供应商托管界面/API 适用；本地或机构自托管开放权重记 NA。报告与研究时点和所用产品对应的数据保留、训练使用、隐私设置、合同或机构控制记 Y；明确采用默认政策且无控制记 N；供应商路径存在但未报告政策记 NR；部署方式不清不得直接记 NA；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法或治理说明,Cohen_kappa_and_AC1,N
ethics_or_privacy_approval_reported,隐私治理,伦理审批或隐私治理报告,paper,nominal,Y|N|NR|NA,uses_human_or_nonpublic_data,报告IRB审批豁免数据使用审批或相应治理；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,伦理声明,Cohen_kappa_and_AC1,N
human_oversight_point_reported,人工监督,人工复核点报告,paper,nominal,Y|N|NR|NA,workflow_or_decision_support,只有部署、前瞻流程或明确模拟临床决策链适用；离线考试、一般输出基准和仅研究者评分记 NA。说明何时、由谁、按何标准复核后才进入流程记 Y；明确无复核记 N；适用但流程不足记 NR；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,流程或讨论,Cohen_kappa_and_AC1,Y
nonautomation_boundary_reported,人工监督,不可自动化边界报告,paper,nominal,Y|N|NR|NA,workflow_or_decision_support,沿用工作流适用条件；明确哪些任务/判断不得由模型单独完成或输出仅供辅助，并落实到流程/使用说明记 Y。泛称谨慎使用或需人工监督不算；明确全自动且无边界记 N；适用但未报告边界记 NR；离线非工作流记 NA；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,流程或讨论,Cohen_kappa_and_AC1,Y
escalation_or_abstention_reported,人工监督,升级拒答或不确定性机制报告,paper,nominal,Y|N|NR|NA,actual_workflow_or_decision_support_path=Y,先判生成系统是否进入实际工作流或决策支持路径；纯离线性能评价或仅讨论未来部署时NA，是否进入流程不清时NR。Y：同时报告触发条件（低置信、冲突、超范围或风险）及对应升级、拒答、转人工或停止动作；N：明确实际流程没有此机制；NR：只报告一般谨慎建议、偶发拒答、事后纠正，或触发与动作缺一。,方法或系统设计,Cohen_kappa_and_AC1,Y
