paper_id,variable_id,coder_a_value,coder_b_value,disagreement_type,locator_pattern,coder_a_locator,coder_b_locator
C08,output_samples_available,0_unavailable,1_selected_examples,VD,Different sections,pmid-40663377.md | Subgroup Analysis | L444-L470; Limitations and Future Directions | L688-L692,pmid-40663377.md > External Validation > L56; pmid-40663377.md > Results > L152
C08,prompts_available,0_unavailable,1_partial_or_on_request,VD,Different sections,pmid-40663377.md | RAG Process | L250-L268,pmid-40663377.md > Qualitative Study > L62; pmid-40663377.md > Knowledge Base Development > L74; pmid-40663377.md > Methods > L84
C08,repeated_runs_per_input,N,NR,VD,Same section,pmid-40663377.md | Internal Validation | L132-L150,pmid-40663377.md > Internal Validation > L48-L50
C08,sensitive_upload_addressed,NR,Y,VD,Different sections,pmid-40663377.md | RAG Process | L250-L268; Ethical Considerations | L370-L384,pmid-40663377.md > Methods > L86; pmid-40663377.md > Methods > L118
C08,system_prompt_reported,NA,NR,AD,Different sections,pmid-40663377.md | RAG Process | L255-L268,pmid-40663377.md > Overview > L44; Methods > L86
C09,contradiction_assessed,Y,NR,VD,Different sections,pmid-41859530.md > Accuracy > L73,pmid-41859530.md > Accuracy Analysis > L118
C09,harm_severity_graded,NA,NR,AD,Same section,pmid-41859530.md > Accuracy > L73,pmid-41859530.md > Accuracy > L82-L82; Accuracy Analysis > L118
C09,potential_harm_assessed,N,Y,VD,Same section,pmid-41859530.md > Accuracy > L73,pmid-41859530.md > Accuracy > L82
C10,escalation_or_abstention_reported,NR,NA,AD,Different sections,pmid-41860987.md | ## Chatbot Platform and Study Procedures | L52,pmid-41860987.md > Discussion > L62-L62
C10,omission_assessed,NA,NR,AD,Same section,pmid-41860987.md | ## Outcome Measures and Statistical Analysis | L64,pmid-41860987.md > Outcome Measures and Statistical Analysis > L30-L30
C10,repeated_runs_per_input,NA,N,AD,Different sections,pmid-41860987.md | ## Chatbot Platform and Study Procedures | L44-L48,pmid-41860987.md > Outcome Measures and Statistical Analysis > L30-L30
C10,reviewers_blinded,NA,N,AD,Same section,pmid-41860987.md | ## Chatbot Platform and Study Procedures | L44,pmid-41860987.md > Chatbot Platform and Study Procedures > L18-L18
C10,system_prompt_reported,N,Y,VD,Same section,pmid-41860987.md | ## Chatbot Platform and Study Procedures | L48,pmid-41860987.md > Chatbot Platform and Study Procedures > L18-L18
C11,actionability_or_critical_error,N,NR,VD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L100-L104,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,citation_error_assessed,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.3. ChatGPT Response Generation > L76-L90,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,harm_severity_graded,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L100-L104,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,judge_bias_control_reported,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L96-L100,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,judge_human_validation,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L96-L100,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,judge_independence_addressed,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L96-L100,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,omission_assessed,NA,NR,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L100-L104,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,potential_harm_assessed,N,NR,VD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L100-L104,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,reference_standard_formation_reported,NR,NA,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L104-L106,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,reference_standard_method,expert_consensus,NA,AD,Full-text absence,pmid-42041943.md > 2.4. Participants and Survey Structure > L94-L104,pmid-42041943.md > complete-text chunk coverage > L1-L94
C11,reviewers_blinded,NA,N,AD,Different sections,pmid-42041943.md > 2.4. Participants and Survey Structure > L94-L100,pmid-42041943.md > section > L48
C12,error_definition_reported,NR,Y,VD,Different sections,pmid-42228937.md > Feasibility Outcomes > L181-L200,pmid-42228937.md > Data Collection > L72; Reliability of OPBot > L98
C12,prompts_available,1_partial_or_on_request,0_unavailable,VD,Same section,pmid-42228937.md > Education Chatbot: OPBot > L145-L150,pmid-42228937.md > Education Chatbot: OPBot > L52
C12,reference_standard_formation_reported,NA,NR,AD,Different sections,pmid-42228937.md > Feasibility Outcomes > L188-L200,pmid-42228937.md > Education Chatbot: OPBot > L52
C12,reference_standard_method,NA,human_output,AD,Different sections,pmid-42228937.md > Feasibility Outcomes > L188-L200,pmid-42228937.md > Education Chatbot: OPBot > L52
C12,repeated_runs_per_input,NA,NR,AD,Full-text absence,pmid-42228937.md > Feasibility Outcomes > L188-L195,pmid-42228937.md > complete-text chunk coverage > L1-L140
C12,reviewers_blinded,NA,NR,AD,Different sections,pmid-42228937.md > Feasibility Outcomes > L188-L200,"pmid-42228937.md > Randomization, Concealment, and Blinding > L46"
C12,system_prompt_reported,NA,NR,AD,Full-text absence,pmid-42228937.md > Education Chatbot: OPBot > L120-L150,pmid-42228937.md > complete-text chunk coverage > L1-L140
